INE_ID,candidate_name,party,year
609,Henriqueta Maria Val-do-Rio Ruas Costa,PCP-PEV,2009
609,Maria de Fatima Simões Ramos do Vale Ferreira,PPD/PSD.CDS-PP,2009
609,Antonio Miguel Costa Baptista,PS,2009
610,Antonio Rodrigues Melanda,B.E.,2009
610,Jorge Luis Forte Camarneiro,PCP-PEV,2009
610,Luis Manuel Barbosa Marques Leal,PPD/PSD.CDS-PP,2009
610,Emilio Augusto Ferreira Torrão,PS,2009
611,José Carlos Nunes Mendes,I,2009
611,João Manuel Fontes Dinis,PCP-PEV,2009
611,Mario Americo Franco Alves,PPD/PSD,2009
611,José Carlos Alexandrino Mendes,PS,2009
612,Alfredo João Ventura de Paula Campos,PCP-PEV,2009
612,José Alberto Pacheco Brito Dias,PPD/PSD,2009
612,Antonio Sergio Brito Martins,PS,2009
613,Arsenio José Carvalho dos Santos Abreu,CDS-PP,2009
613,Eduardo da Fonte Ferreira,PCP-PEV,2009
613,Luis Jorge Frias Morgado,PPD/PSD,2009
613,Humberto José Batista Oliveira,PS,2009
614,Rui Daniel Gonçalves Lopes,PCP-PEV,2009
614,Paulo Jorge Simões Julio,PPD/PSD,2009
614,Renato Filipe Nunes França,PS,2009
615,Manuel Augusto Jordão Simões da Silva,B.E.,2009
615,José da Costa Cordeiro Pato,CDS-PP,2009
615,Maria Manuela Lucas Oliveira Santos,PCP-PEV,2009
615,Sonia Cristina da Silva Vidal Pires,PPD/PSD,2009
615,João Eduardo Dias Madeira Gouveia,PS,2009
616,José Antonio Rodrigues Alexandre,PCP-PEV,2009
616,Jorge Manuel Cova Veigas,PPD/PSD.CDS-PP,2009
616,Francisco Ivo de Lima Portela,PS,2009
617,Artur Coimbra dos Reis,PCP-PEV,2009
617,Jaime Carlos Marta Soares,PPD/PSD,2009
617,Joaquim Pires Monteiro,PS,2009
701,Custódio João da Conceição Costa,PCP-PEV,2009
701,Núria Carla Ramires Cebola Gomes,PPD/PSD,2009
701,João José Martins Nabais,PS,2009
701,João Maria Aranha Grilo,XIV,2009
702,Jerónimo José Correia dos Lóios,PCP-PEV,2009
702,Virgilio José dos Santos Maltez,PPD/PSD.CDS-PP,2009
702,Manuel Maria Correia Leitão,PS,2009
703,Joaquim José Serra Silva,PCP-PEV,2009
703,Ivone da Conceição Balseiro Espiguinha,PPD/PSD,2009
703,Ângelo João Guarda Verdades de Sá,PS,2009
